     1     1
     2    12
     3    11
     4     6
     5     4
     6    22
     7    15
     8     1
     9     1
    10     4
    11     6
    12    32
    13     2
    14    15
    15    13
    16    16
    17     8
    18    32
    19    10
    20     7
    21    23
    22     1
    23    29
    24     3
    25     1
    26     6
    27     7
    28    15
    29     6
    30     1
    31     2
    32    15
    33     1
    34     2
    35     8
    36     2
    37    14
    38     8
    39     4
    40     3
    41    27
    42    23
    43     1
    44    11
    45     1
    46    23
    47     4
    48    12
    49    26
    50     3
    51     6
    52     6
    53     8
    54     6
    55    29
    56     3
    57    18
    58    26
    59    28
    60    31
    61     1
    62    21
    63     4
    64    13
    65    18
    66     6
    67    23
    68     2
    69     6
    70     1
    71    28
    72     1
    73     1
    74     1
    75    18
    76    27
    77     3
    78    14
    79     8
    80    19
    81    25
    82    26
    83    18
    84     3
    85     2
    86     3
    87    16
    88    30
    89    20
    90     9
    91     8
    92     2
    93     1
    94     1
    95     9
    96    26
    97     9
    98    28
    99     4
   100     9
